                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.74335,                0.64135,                 1.1338,                0.88369,                0.83647,                0.89915,                0.69318,                0.92818,                0.73479,                 1.3059,               0.008449,               0.008449,               0.008449
                     49,                0.73754,                0.64291,                 1.1406,                0.91411,                0.81577,                0.89293,                0.69327,                0.89848,                0.72857,                 1.2877,               0.008416,               0.008416,               0.008416
                     50,                0.72943,                0.63985,                 1.1316,                0.87516,                0.85331,                0.90738,                0.70069,                 0.9093,                0.71227,                 1.2981,               0.008383,               0.008383,               0.008383
                     51,                0.74366,                0.65694,                 1.1365,                0.91212,                0.83415,                 0.8868,                0.67744,                0.93236,                0.73711,                 1.2929,                0.00835,                0.00835,                0.00835
                     52,                0.72786,                0.63316,                 1.1266,                0.90325,                0.86661,                0.90912,                0.69734,                0.91088,                 0.7185,                 1.3024,               0.008317,               0.008317,               0.008317
                     53,                0.72538,                0.62684,                 1.1282,                0.90809,                 0.8532,                0.90414,                0.70341,                0.89077,                0.72449,                 1.2923,               0.008284,               0.008284,               0.008284
                     54,                0.71518,                0.62076,                 1.1226,                0.91252,                0.82822,                0.90077,                0.70038,                0.92005,                0.70455,                 1.3138,               0.008251,               0.008251,               0.008251
                     55,                0.72549,                0.63117,                 1.1295,                0.90778,                0.83137,                 0.9001,                 0.6896,                0.89574,                0.73285,                  1.287,               0.008218,               0.008218,               0.008218
                     56,                0.71058,                0.62524,                 1.1211,                0.89479,                0.84399,                0.90375,                0.70331,                0.88369,                0.71295,                 1.2932,               0.008185,               0.008185,               0.008185
                     57,                 0.7123,                0.61771,                 1.1215,                0.88276,                 0.8557,                 0.9111,                 0.7096,                0.88113,                0.71119,                 1.2695,               0.008152,               0.008152,               0.008152
                     58,                0.70939,                0.62532,                 1.1199,                0.91703,                0.80385,                0.87912,                0.68717,                0.90434,                0.73143,                 1.2987,               0.008119,               0.008119,               0.008119
                     59,                0.72078,                 0.6241,                 1.1247,                0.86305,                0.84523,                0.89052,                0.69088,                0.89721,                0.68876,                 1.2898,               0.008086,               0.008086,               0.008086
                     60,                0.70691,                0.60417,                 1.1191,                0.90413,                0.84373,                0.90395,                0.70985,                0.89014,                0.68134,                 1.2804,               0.008053,               0.008053,               0.008053
                     61,                0.70848,                0.61572,                 1.1179,                0.90909,                0.86904,                0.90244,                0.70947,                0.88498,                0.67897,                 1.2892,                0.00802,                0.00802,                0.00802
                     62,                0.71287,                  0.606,                 1.1169,                0.89615,                0.83934,                0.90195,                0.69643,                0.89304,                  0.716,                 1.2899,               0.007987,               0.007987,               0.007987
                     63,                0.69991,                0.60481,                 1.1213,                0.91997,                0.84323,                0.90008,                0.69225,                0.92069,                0.70906,                 1.3058,               0.007954,               0.007954,               0.007954
                     64,                0.71722,                0.61196,                 1.1191,                0.92443,                0.84373,                0.90785,                0.72566,                0.86559,                0.69231,                 1.2612,               0.007921,               0.007921,               0.007921
                     65,                 0.7116,                0.60946,                 1.1164,                0.89227,                0.83029,                0.90308,                0.71248,                0.87039,                  0.698,                 1.2703,               0.007888,               0.007888,               0.007888
                     66,                0.70755,                0.59888,                 1.1087,                0.86745,                0.85137,                0.90082,                0.71129,                0.84571,                0.69429,                 1.2505,               0.007855,               0.007855,               0.007855
                     67,                0.69105,                0.60125,                 1.1146,                0.90143,                 0.8552,                0.90037,                0.69885,                0.89013,                0.70215,                 1.2727,               0.007822,               0.007822,               0.007822
                     68,                0.71032,                0.60927,                 1.1181,                0.86905,                0.84846,                0.89691,                0.70005,                0.88603,                0.71768,                 1.2826,               0.007789,               0.007789,               0.007789
                     69,                0.69882,                0.59825,                 1.1172,                0.92488,                0.81772,                0.89807,                0.70852,                0.86651,                0.68434,                 1.2684,               0.007756,               0.007756,               0.007756
                     70,                0.69837,                0.59151,                 1.1075,                   0.91,                0.85926,                0.90513,                 0.7123,                0.86908,                0.66731,                 1.2609,               0.007723,               0.007723,               0.007723
                     71,                0.69203,                0.58804,                 1.1125,                0.92518,                0.85615,                0.91163,                0.72406,                0.86596,                0.67786,                  1.277,                0.00769,                0.00769,                0.00769
                     72,                0.70241,                0.59132,                 1.1149,                0.90445,                0.83629,                0.90497,                0.71447,                0.89381,                0.68989,                 1.2877,               0.007657,               0.007657,               0.007657
                     73,                0.69143,                0.58899,                 1.1078,                0.90498,                0.84737,                 0.9039,                0.71207,                0.86771,                0.67983,                 1.2596,               0.007624,               0.007624,               0.007624
                     74,                0.69096,                0.59271,                 1.1111,                0.88466,                0.86456,                0.90933,                0.71429,                0.88234,                0.65133,                 1.2769,               0.007591,               0.007591,               0.007591
                     75,                0.68956,                0.58737,                 1.1032,                0.88692,                 0.8559,                0.89769,                 0.7069,                0.89146,                0.66241,                 1.2876,               0.007558,               0.007558,               0.007558
                     76,                0.70981,                0.59188,                  1.112,                 0.8831,                0.86018,                0.90464,                0.69642,                0.88845,                0.65874,                 1.2775,               0.007525,               0.007525,               0.007525
                     77,                0.68677,                0.58693,                 1.1034,                0.92977,                0.86537,                0.91208,                0.70889,                0.87235,                0.61639,                 1.2653,               0.007492,               0.007492,               0.007492
                     78,                0.68799,                0.58314,                 1.1086,                0.92578,                0.84657,                  0.913,                0.70576,                0.87283,                0.62997,                 1.2597,               0.007459,               0.007459,               0.007459
                     79,                0.67956,                0.57529,                 1.0996,                0.91492,                0.86869,                0.91692,                0.71707,                0.86514,                0.61489,                 1.2595,               0.007426,               0.007426,               0.007426
                     80,                0.69158,                0.59158,                 1.1097,                0.90107,                0.87687,                0.91369,                0.71879,                0.84928,                0.62967,                 1.2528,               0.007393,               0.007393,               0.007393
